iter	Logloss
140	0.4158702476
141	0.4152555987
142	0.414702879
143	0.4144551304
144	0.4140093429
145	0.4134608172
146	0.4129511338
147	0.4125863494
148	0.4120790734
149	0.4116705781
150	0.4110483544
151	0.4104892455
152	0.4098629452
153	0.4093620275
154	0.4089837242
155	0.4085934726
156	0.4080438528
157	0.4076456165
158	0.4073816997
159	0.4071049622
160	0.4069569013
161	0.4065356351
162	0.4060389219
163	0.4056033528
164	0.4050977975
165	0.4046961711
166	0.4044309446
167	0.4039284679
168	0.4032634017
169	0.4030158515
170	0.402531078
171	0.4023490858
172	0.401922682
173	0.401614969
174	0.4011885723
175	0.4006937319
176	0.4004488154
177	0.400033409
178	0.3995987486
179	0.3993212171
180	0.3988743707
181	0.3986888655
182	0.3982077813
183	0.3977266896
184	0.3973522338
185	0.3969667945
186	0.396718993
187	0.3963884863
188	0.3962347611
189	0.3959562497
190	0.3955839708
191	0.39528183
192	0.3948191814
193	0.3946034856
194	0.39425652
195	0.3940019335
196	0.3938060235
197	0.393331049
198	0.3929141804
199	0.3925932161
200	0.3922704432
201	0.3918000314
202	0.3916362283
203	0.3912802523
204	0.3909538144
205	0.3906908557
206	0.3903483233
207	0.3899858057
208	0.3896054997
209	0.3894435515
210	0.3892678968
211	0.3891004984
212	0.3888154471
213	0.3884277288
214	0.3881944696
215	0.3878265685
216	0.3876607906
217	0.3874245075
218	0.3871992019
219	0.3869291431
220	0.3866513906
221	0.3863282277
222	0.3861464854
223	0.3860508026
224	0.3857876067
225	0.3854732361
226	0.3851834511
227	0.3849715595
228	0.3847054948
229	0.3845555086
230	0.3842371422
231	0.3839240923
232	0.3835561294
233	0.3833301012
234	0.3829803467
235	0.3827774872
236	0.3823959175
237	0.3820942605
238	0.3817516194
239	0.3815329738
240	0.3813046414
241	0.3810123821
242	0.3806307859
243	0.3804134068
244	0.379981745
245	0.3796877251
246	0.3795411033
247	0.3792420834
248	0.3789106695
249	0.3787346519
250	0.3784565647
251	0.3780970518
252	0.3778476923
253	0.377471802
254	0.3773428166
255	0.377116677
256	0.3768735343
257	0.376661423
258	0.3764373129
259	0.3762125636
260	0.3761889395
261	0.3759533245
262	0.3757327187
263	0.3756211701
264	0.3754493751
265	0.3752132992
266	0.3748159348
267	0.3746904954
268	0.37454237
269	0.3743924933
270	0.3741968413
271	0.3740211837
272	0.3737503466
273	0.3734983439
274	0.3732455089
275	0.3729809971
276	0.372830148
277	0.372646768
278	0.3724324099
279	0.3720862048
280	0.3719294742
281	0.3717051022
282	0.3716096314
283	0.3713845548
284	0.3712114115
285	0.3710056799
286	0.3708552016
287	0.3707262793
288	0.3705812562
289	0.370544142
290	0.370371905
291	0.3701724211
292	0.3700202667
293	0.3698186824
294	0.3695852187
295	0.3694880938
296	0.3692986273
297	0.3691090166
298	0.368848479
299	0.3687205751
300	0.3686096176
301	0.3684526701
302	0.3682876175
303	0.3680540402
304	0.3677754882
305	0.3677377774
306	0.367529321
307	0.3673619042
308	0.3672516426
309	0.3672140278
310	0.3670444194
311	0.366913786
312	0.3667403736
313	0.3665539925
314	0.3663569083
315	0.3661073254
316	0.3659888324
317	0.3657341305
318	0.3654861821
319	0.3651239406
320	0.3648727665
321	0.3645281175
322	0.3644638166
323	0.3643217032
324	0.3641020462
325	0.3640040546
326	0.363776752
327	0.3636722807
328	0.3635379702
329	0.3634471246
330	0.3632529027
331	0.3630575106
332	0.3629956604
333	0.3628507236
334	0.3624943498
335	0.3623717919
336	0.3622086748
337	0.3621568013
338	0.3620325653
339	0.3618505599
340	0.3617066675
341	0.3615250538
342	0.361402396
343	0.361231678
344	0.3611501563
345	0.3608938236
346	0.3607715727
347	0.3606165749
348	0.3605209637
349	0.3605168984
350	0.3604375786
351	0.360377468
352	0.3601655404
353	0.3599169963
354	0.3596765842
355	0.359527008
356	0.3593142013
357	0.3591303727
358	0.3589301711
359	0.3587429639
360	0.3586337984
361	0.3583554774
362	0.3581294071
363	0.3579685605
364	0.3577597362
365	0.3576459348
366	0.3576453916
367	0.3575185164
368	0.3573261985
369	0.3572437927
370	0.3570775148
371	0.3569588279
372	0.3566562301
373	0.356257374
374	0.356117482
375	0.3559880761
376	0.3558634569
377	0.3556031242
378	0.355428857
379	0.3553580444
380	0.3551786301
381	0.3550096254
382	0.3547669337
383	0.3546622556
384	0.3545093947
385	0.3544189929
386	0.3543804945
387	0.3542515247
388	0.3541069077
389	0.3540370465
390	0.3537280679
391	0.3536407318
392	0.3534717567
393	0.3532972944
394	0.3531950218
395	0.3530277752
396	0.352815072
397	0.3525711618
398	0.3524002052
399	0.352228068
400	0.3520604124
401	0.3520113145
402	0.3518225978
403	0.3516289626
404	0.3514326107
405	0.3513596739
406	0.3512500074
407	0.3512173396
408	0.3510618425
409	0.3509354866
410	0.350826496
411	0.350777667
412	0.3506064566
413	0.3505435053
414	0.3503609454
415	0.350223788
416	0.3501175663
417	0.3500284839
418	0.3498755962
419	0.3496451141
420	0.3495373002
421	0.3493601556
422	0.3491455442
423	0.3490335739
424	0.348921484
425	0.3487573186
426	0.3485537378
427	0.3484749862
428	0.3483973837
429	0.3481491154
430	0.3480232284
431	0.3478221215
432	0.3477019445
433	0.3475372568
434	0.3474411232
435	0.3473310761
436	0.3471301284
437	0.3470566723
438	0.3469545421
439	0.3468326418
440	0.3467102594
441	0.3466756084
442	0.3465248292
443	0.3464579878
444	0.3463256866
445	0.3461776838
446	0.3461226476
447	0.3460551875
448	0.3459150231
449	0.3458862096
450	0.3456031668
451	0.3455866219
452	0.345513385
453	0.3454229385
454	0.3453111185
455	0.3452288749
456	0.345136399
457	0.3449968169
458	0.3447820713
459	0.3446468869
460	0.3445183335
461	0.3444101618
462	0.3442450443
463	0.3440014973
464	0.3439014243
465	0.3438664123
466	0.3435589524
467	0.3433661701
468	0.3432337238
469	0.3431963071
470	0.3429487818
471	0.3428777377
472	0.3427418776
473	0.3427287861
474	0.3426549406
475	0.3425658618
476	0.3424309468
477	0.3423524475
478	0.3423431474
479	0.3422054403
480	0.3421430988
481	0.3420625352
482	0.3420005652
483	0.3419486653
484	0.3419054387
485	0.3417671868
486	0.3416947518
487	0.3415279644
488	0.3413360281
489	0.3412064444
490	0.3410755092
491	0.34095619
492	0.3409163488
493	0.3408358878
494	0.3407543812
495	0.3405427268
496	0.340511325
497	0.3404056273
498	0.3402724295
499	0.3401969084
500	0.3401282236
501	0.3399487351
502	0.3398200468
503	0.3397058288
504	0.3396446257
505	0.339519025
506	0.3393239182
507	0.3391644979
508	0.3390518407
509	0.3388382679
510	0.3386526607
511	0.3385258686
512	0.3384473589
513	0.3383909006
514	0.3381637623
515	0.3380431951
516	0.3379346181
517	0.3378233683
518	0.337691798
519	0.3375982364
520	0.3374192754
521	0.3373642036
522	0.3372106037
523	0.337108525
524	0.3370156183
525	0.3370030179
526	0.3369437189
527	0.3367514554
528	0.3366297798
529	0.3364514871
530	0.3363926991
531	0.3363087793
532	0.3362873617
533	0.3361508341
534	0.3360978101
535	0.3359702533
536	0.3358616213
537	0.3357873757
538	0.3356625101
539	0.3356123827
540	0.3354412664
541	0.3353243933
542	0.3353130967
543	0.3351758015
544	0.335079931
545	0.335017917
546	0.3350070369
547	0.3350018403
548	0.3349325694
549	0.3348550768
550	0.3347938509
551	0.334732002
552	0.3346080066
553	0.3345924168
554	0.3345818684
555	0.3345085887
556	0.3344155156
557	0.3342519597
558	0.3342056979
559	0.3340390697
560	0.3339235906
561	0.3337824031
562	0.3336947105
563	0.3336131889
564	0.3335171266
565	0.3334071181
566	0.3333192795
567	0.3332478432
568	0.3331696113
569	0.3331052375
570	0.3330177905
571	0.3329472748
572	0.3328438517
573	0.3326711829
574	0.3326609865
575	0.3324307839
576	0.3322849624
577	0.3321445102
578	0.3321021003
579	0.3320280552
580	0.3319483398
581	0.3318747208
582	0.3318137066
583	0.3318002674
584	0.33173237
585	0.3316245665
586	0.3315655949
587	0.3314529699
588	0.331355292
589	0.33126476
590	0.3312190344
591	0.3310815048
592	0.330986213
593	0.3306842722
594	0.3306741526
595	0.3306043046
596	0.3304598698
597	0.3303600187
598	0.3301840614
599	0.3300794133
600	0.329925681
601	0.3298894129
602	0.329771704
603	0.329689151
604	0.3294878318
605	0.3292228518
606	0.3291349652
607	0.3290407655
608	0.3288442896
609	0.3287648687
610	0.3286883161
611	0.3286117544
612	0.3283931192
613	0.3282600805
614	0.3282342284
615	0.3281612366
616	0.3280508904
617	0.3278845837
618	0.3277385356
619	0.3276386308
620	0.3275017141
621	0.3273575901
622	0.3272697704
623	0.3270959582
624	0.3269118838
625	0.3267423089
626	0.3266373094
627	0.3265971196
628	0.3264970948
629	0.3263962084
630	0.326231282
631	0.3261723988
632	0.3260787288
633	0.3260146731
634	0.3259228192
635	0.3259134791
636	0.3258315946
637	0.3256838424
638	0.3256075368
639	0.3254891634
640	0.3253488088
641	0.3252703251
642	0.3251909824
643	0.3251832491
644	0.3249828659
645	0.3249734054
646	0.3249265079
647	0.3248381732
648	0.3247703136
649	0.3247020851
650	0.3245796393
651	0.3244511375
652	0.3243330131
653	0.3243004484
654	0.3241327965
655	0.3240216625
656	0.3239216348
657	0.3238460859
658	0.3237360917
659	0.3236248622
660	0.3234881114
661	0.3233612544
662	0.3232661059
663	0.323094187
664	0.3229284651
665	0.3228546519
666	0.3227826406
667	0.3227465873
668	0.3226648459
669	0.3225013919
670	0.3223686853
671	0.3222526446
672	0.3221798158
673	0.3221340898
674	0.3219792935
675	0.3216232147
676	0.3214776913
677	0.3213310218
678	0.3209316769
679	0.3208433954
680	0.320672353
681	0.3204728941
682	0.3203253743
683	0.3202468945
684	0.3202178549
685	0.3201406142
686	0.3200597972
687	0.3199108816
688	0.3198286867
689	0.3197475737
690	0.3195873486
691	0.3194992731
692	0.3194358307
693	0.3193897129
694	0.3192714219
695	0.3191586938
696	0.3190768937
697	0.3190075962
698	0.3188706383
699	0.3186741099
700	0.3185824076
701	0.3185081899
702	0.3183665963
703	0.3182609047
704	0.3180909842
705	0.3180235464
706	0.3178184802
707	0.3176695723
708	0.3175942381
709	0.3175527962
710	0.3174545076
711	0.3173517089
712	0.3173083411
713	0.3172363224
714	0.317038065
715	0.3169472973
716	0.3168637171
717	0.3167518219
718	0.3166948918
719	0.3166076
720	0.3164804322
721	0.3163928996
722	0.3162278806
723	0.3162064542
724	0.3160578367
725	0.3159818535
726	0.3158166827
727	0.315684699
728	0.3156002916
729	0.3155358132
730	0.3154700454
731	0.3153311493
732	0.3152290663
733	0.3151647473
734	0.3151553119
735	0.3151010675
736	0.3148626136
737	0.3147677676
738	0.3146164081
739	0.3145093573
740	0.314445824
741	0.3144391811
742	0.3143515143
743	0.3142277646
744	0.3140397638
745	0.3139082168
746	0.3138769523
747	0.3137861161
748	0.3137429832
749	0.3136239615
750	0.3135875243
751	0.3134871807
752	0.313419492
753	0.3133657119
754	0.313353463
755	0.3132081821
756	0.3131230939
757	0.3130494906
758	0.3129958643
759	0.3128296334
760	0.3127180023
761	0.3125834316
762	0.3124473067
763	0.312301743
764	0.3121148936
765	0.3120372996
766	0.3118947697
767	0.3118344955
768	0.3117754457
769	0.3117113716
770	0.3115860054
771	0.3115252559
772	0.3113620801
773	0.3112432003
774	0.3111535182
775	0.3110902668
776	0.3110103722
777	0.310835741
778	0.3108089837
779	0.3107138774
780	0.3106294066
781	0.3104986142
782	0.3104925366
783	0.3103588663
784	0.3101847846
785	0.3101472503
786	0.3099446044
787	0.3097817588
788	0.3097374816
789	0.3095885978
790	0.3093392651
791	0.3092665353
792	0.3091837622
793	0.3090626987
794	0.3089185403
795	0.3088883319
796	0.3086866125
797	0.3086518533
798	0.3086048559
799	0.3085200059
800	0.3083786865
801	0.3082378009
802	0.3081835088
803	0.3078710098
804	0.3077922699
805	0.3077263048
806	0.307539447
807	0.3074721632
808	0.3073567881
809	0.3072739851
810	0.3072087947
811	0.3071330188
812	0.3070441518
813	0.3068726909
814	0.3067372906
815	0.3066362449
816	0.3065534335
817	0.3063496839
818	0.3062686088
819	0.3061810506
820	0.3061211105
821	0.3059615418
822	0.3058985337
823	0.3057688405
824	0.3055597808
825	0.3054330889
826	0.3053085209
827	0.305265018
828	0.3052040669
829	0.3050652095
830	0.3050045946
831	0.3049201895
832	0.3047341948
833	0.3046583758
834	0.3045720048
835	0.3045040589
836	0.3044034207
837	0.3043357714
838	0.3042386127
839	0.304182444
840	0.3040974695
841	0.3040186287
842	0.3039238242
843	0.3038778338
844	0.303806695
845	0.3037781599
846	0.3036624902
847	0.3035485247
848	0.303492163
849	0.3033894996
850	0.3032813937
851	0.3032199188
852	0.3031161576
853	0.3030519903
854	0.3029778206
855	0.302921793
856	0.3027729142
857	0.3026489346
858	0.3025752115
859	0.302549941
860	0.3025015764
861	0.3024553108
862	0.302300944
863	0.302225133
864	0.3021164903
865	0.3019750249
866	0.3019279547
867	0.3018532012
868	0.3017829843
869	0.3016417072
870	0.3015511284
871	0.3013498164
872	0.3012670435
873	0.3010543693
874	0.3009931826
875	0.3008885371
876	0.3008369003
877	0.3007198173
878	0.30064227
879	0.300537702
880	0.3004652869
881	0.300418345
882	0.3003635814
883	0.3003169511
884	0.3000790769
885	0.299996525
886	0.2998189338
887	0.2997768241
888	0.2997731435
889	0.299687627
890	0.2995422709
891	0.2994655458
892	0.2993330899
893	0.2992595647
894	0.2991703866
895	0.2991427179
896	0.2990527382
897	0.2988764147
898	0.298800434
899	0.2987649639
900	0.2986602854
901	0.2985098708
902	0.298375537
903	0.2981947164
904	0.2980308355
905	0.2979468278
906	0.2978253077
907	0.2977558483
908	0.2977017617
909	0.2976415405
910	0.2973671146
911	0.2971553777
912	0.2971024334
913	0.2969374909
914	0.2968625701
915	0.2967225034
916	0.2966312579
917	0.2965696454
918	0.2964515097
919	0.2964069444
920	0.2962846614
921	0.2962278668
922	0.2961961272
923	0.2960553365
924	0.2959193239
925	0.2958266487
926	0.2956634774
927	0.2955587519
928	0.2954733547
929	0.2954127384
930	0.2951896481
931	0.2950381408
932	0.2949548137
933	0.2947880264
934	0.294749723
935	0.294663136
936	0.2945265026
937	0.2945038614
938	0.2944277913
939	0.2943449479
940	0.2942777368
941	0.2942238269
942	0.2941404471
943	0.2940469192
944	0.2939805965
945	0.293920398
946	0.2938601648
947	0.293809809
948	0.2937208105
949	0.2936792736
950	0.2935290232
951	0.2934603467
952	0.2934099965
953	0.2933010506
954	0.2932766859
955	0.2932380765
956	0.2931416236
957	0.2931173143
958	0.2929059669
959	0.2928032023
960	0.2927101289
961	0.2926429675
962	0.2924805039
963	0.2924331981
964	0.2923721517
965	0.2923318988
966	0.2922934535
967	0.2922709383
968	0.2922238673
969	0.2920988139
970	0.2920271876
971	0.2919049632
972	0.2918109945
973	0.2917091981
974	0.2916529378
975	0.2916156376
976	0.2914057268
977	0.2911963985
978	0.2911178326
979	0.2910782098
980	0.2910379731
981	0.2909272906
982	0.2908297162
983	0.290598202
984	0.290529648
985	0.290320955
986	0.2902870053
987	0.2902522373
988	0.2901951
989	0.2899811732
990	0.2899295537
991	0.2898231283
992	0.2895958271
993	0.2895213201
994	0.2893459482
995	0.2892811146
996	0.2890460411
997	0.2889946785
998	0.2889275655
999	0.2888867786
